S. No.,ApplicationId,Startup/Company Legal Name,"Technology
Readiness
Level (TRL)",Theme,Sheet
99,BHAR-794516,ADUZA Robotics and Automation Private Limited,9,Manufacturing & Industry 4.0,Table_2
100,BHAR-798276,,3,"Energy, Sustainability, and Climate Change",Table_2
101,BHAR-793115,VoltWorks Technologies Private Limited,9,Manufacturing & Industry 4.0,Table_2
102,BHAR-799063,REVY Environmental Solutions Pvt. Ltd.,7,Biotechnology,Table_2
103,BHAR-794731,,5,"Advanced Materials, Rare-earth & Critical Minerals",Table_2
104,BHAR-797248,,4,Agri & Food Technologies,Table_2
105,BHAR-782402,Anuriva Technologies private limited,3,Healthcare & MedTech,Table_2
106,BHAR-785944,,4,Agri & Food Technologies,Table_2
107,BHAR-787148,Medic Tech Pvt Ltd,6,Manufacturing & Industry 4.0,Table_2
108,BHAR-781701,AgAutomate Private Limited,6,Agri & Food Technologies,Table_2
109,BHAR-787339,PARENTHESES SYSTEMS PRIVATE LIMITED,9,Manufacturing & Industry 4.0,Table_2
110,BHAR-785292,LogisticsNow Private Limited,9,Smart Cities & Mobility,Table_2
111,BHAR-782445,Chimertech Private Limited,7,Biotechnology,Table_2
112,BHAR-788193,,6,Healthcare & MedTech,Table_2
113,BHAR-778058,UNINO Healthcare Pvt. Ltd.,5,Healthcare & MedTech,Table_2
114,BHAR-772980,,6,Space and Defence,Table_2
115,BHAR-767942,TRIGEN DECARBONISATION PVT. LTD.,9,"Energy, Sustainability, and Climate Change",Table_2
116,BHAR-726148,,4,Manufacturing & Industry 4.0,Table_2
117,BHAR-695807,Karetic Energy Private Limited,5,"Energy, Sustainability, and Climate Change",Table_2
118,BHAR-696167,,3,Manufacturing & Industry 4.0,Table_2
119,BHAR-682307,Greenovate Solutions Private Limited,5,"Energy, Sustainability, and Climate Change",Table_2
120,BHAR-683536,Aryav Ecofriendly Resources Pvt Ltd,9,Agri & Food Technologies,Table_2
121,BHAR-687856,Dextroware Devices Private Limited,9,Healthcare & MedTech,Table_2
122,BHAR-689174,TRIPHAN HEALTHCARE PVT. LTD.,6,Healthcare & MedTech,Table_2
123,BHAR-675314,Papyrus Diagnostics Private Limited,4,Healthcare & MedTech,Table_2
